10
3 3
1 2 1
2 3 1
3 1 1
3 2
1 2 3
2 3 4
15 4
1 5 5531
9 15 3860
8 4 6664
13 3 4320
15 8
14 6 9084
1 12 8967
11 12 8866
12 2 8795
7 10 9102
10 12 9071
12 10 9289
4 11 8890
15 16
3 3 2551
6 11 2587
2 4 2563
3 6 2569
3 1 2563
4 11 2487
7 15 2580
7 14 2534
10 7 2530
3 5 2587
5 14 2596
14 14 2556
15 9 2547
12 4 2586
6 8 2514
2 12 2590
5 8
1 5 1016
4 5 918
1 4 926
2 3 928
5 4 994
2 3 1007
1 4 946
3 4 966
2 8
1 2 4618
1 1 6418
2 2 2815
1 1 4077
2 1 4239
1 2 5359
1 2 3971
1 2 7842
2 2
2 1 4903
1 1 4658
4 2
1 2 1
3 4 1
15 1000
5 13 3255
5 12 5218
10 11 2687
4 4 4190
11 15 5101
3 2 9960
14 3 1576
2 8 2852
7 9 2708
10 15 1847
9 15 1924
12 14 1782
14 15 1189
12 9 7916
10 12 480
13 2 4015
13 10 2566
2 12 7318
3 14 8620
7 13 8021
8 14 3965
1 11 740
13 8 3033
2 2 9793
9 14 5935
5 11 2965
7 11 164
5 11 8197
8 12 6949
3 4 305
4 12 3134
3 9 3265
13 1 987
3 13 4499
4 6 5435
15 5 4437
15 13 2454
15 3 6223
14 11 605
11 9 9007
7 9 6519
11 2 9187
13 14 723
12 9 5035
13 9 9600
6 9 6503
4 14 4087
8 8 8658
9 2 3531
7 3 5467
1 9 6833
7 1 6080
14 5 4524
2 7 8711
3 6 1763
1 13 6949
8 9 7204
15 3 2008
14 12 8582
9 5 8088
8 2 6999
9 10 857
13 7 4896
5 2 4522
13 15 8172
8 11 3938
8 2 446
13 5 4751
11 6 1443
14 10 3887
4 5 4485
2 10 4175
8 13 6630
12 1 4970
15 12 9137
3 11 8946
6 9 3781
9 3 1252
12 10 1069
8 3 8971
2 12 9001
6 2 8045
13 5 3658
14 9 757
3 1 2230
9 12 5246
6 1 5785
7 7 2034
6 5 250
12 9 206
1 12 3986
5 12 4889
8 1 1966
1 10 9356
10 15 3921
11 8 2413
5 6 3664
2 13 5316
2 3 6294
9 5 7824
12 11 536
14 7 5507
1 10 5111
14 5 3345
9 4 2573
9 2 6418
15 1 5224
3 15 5107
4 9 9481
12 5 4843
3 3 8849
5 11 6676
5 11 8670
1 11 651
3 4 3447
9 12 3170
13 6 3221
5 1 983
2 15 4394
9 9 9751
4 13 8274
9 1 3404
2 13 6850
8 6 7234
7 3 9766
3 14 614
13 14 4522
6 6 3276
12 4 2513
6 4 5376
1 4 9657
6 7 5291
13 7 9686
8 6 981
13 6 3879
10 4 7358
4 13 9524
1 14 8850
8 7 4614
7 6 9337
6 3 3649
5 5 2695
6 3 1948
14 13 3405
4 15 1586
9 14 5039
5 13 42
2 5 6340
13 7 7697
1 14 7971
15 12 2481
9 6 7775
1 5 2320
5 11 6334
15 2 3159
1 11 2570
15 8 1712
2 14 3246
10 6 8898
2 15 8936
14 15 9941
1 3 6729
12 2 7428
15 12 7027
6 13 1770
2 5 2510
13 14 6671
6 2 8285
14 14 9037
6 6 2966
2 3 7376
13 10 5645
1 6 8368
14 1 7015
8 5 1849
7 3 1764
6 3 781
15 5 7050
15 4 2452
7 9 7782
7 2 3718
3 14 9186
11 3 4097
8 6 9563
1 3 9888
14 13 4629
2 14 6523
3 14 7543
14 12 1813
12 6 4803
13 11 6956
1 5 9665
6 6 439
4 8 391
13 15 9647
6 11 7907
15 11 835
6 12 1022
12 14 2937
14 6 2581
11 6 42
6 9 8098
10 12 3529
7 8 2270
2 1 858
13 7 9637
8 6 9256
8 14 7146
13 13 5280
1 8 5805
4 14 7505
8 3 7747
14 1 5623
11 11 649
6 5 973
13 1 5878
14 3 3933
10 1 9994
4 8 6455
15 5 3701
9 10 336
5 4 4210
2 9 781
7 9 3258
2 1 1475
15 11 3097
11 9 9772
2 6 8908
10 14 6281
12 6 8679
15 1 2143
9 4 9130
1 14 4120
6 14 1336
1 5 4989
3 3 6620
12 14 9369
11 1 3201
1 11 7483
11 15 4384
9 9 6766
9 4 855
12 9 9517
5 9 4124
15 6 2208
6 3 425
8 10 1982
14 7 9031
13 2 3042
13 11 5891
13 8 9173
5 7 5467
5 15 4682
5 6 4186
8 4 3182
15 15 6721
13 9 2680
12 6 1191
14 14 547
15 2 2343
15 10 9525
13 11 2312
10 4 7866
9 2 7714
1 11 5704
5 10 9581
15 8 4062
15 8 2073
5 6 9669
1 15 3554
15 2 9470
15 14 1669
14 14 1769
14 10 6122
15 8 3974
2 15 8512
1 10 6419
4 6 2999
7 4 7600
8 11 2886
15 7 5842
5 2 5060
4 6 5843
6 14 7421
13 2 8474
9 1 3429
4 3 470
13 8 95
8 8 9072
1 3 833
5 10 7652
6 13 2655
8 12 9029
15 14 4242
7 8 532
9 2 1188
12 3 8658
10 8 8721
13 12 6202
2 11 8778
5 11 1605
13 15 168
4 1 9005
4 14 764
6 9 8208
11 12 8389
10 10 6827
6 14 5679
13 12 9232
9 3 3062
2 2 7972
15 3 1652
2 12 4364
2 14 2889
10 4 622
13 1 1526
6 1 6187
15 13 7784
11 3 9721
6 4 4210
11 11 2964
12 1 7166
13 14 6439
12 15 6332
15 12 4012
11 4 5617
11 9 9573
5 10 7429
14 5 3573
15 3 2451
6 9 2494
9 6 2032
4 12 1970
11 1 2054
8 12 1710
4 8 5072
14 12 2363
15 7 3325
10 15 2195
10 4 615
10 3 2867
3 14 898
6 9 6386
2 3 2436
10 7 5133
13 15 6552
1 9 5440
13 4 2299
9 8 2820
14 13 9516
5 7 7321
9 1 5448
13 1 5522
8 14 5088
5 8 6860
1 2 4993
15 3 2862
2 2 8073
9 9 8435
3 8 6472
3 11 491
9 9 9520
10 13 955
10 9 2845
3 1 8291
4 3 5082
5 2 2234
7 11 8667
2 8 7832
14 1 7960
7 9 6953
8 4 468
7 10 1357
13 13 8007
1 8 9928
13 4 7636
15 13 8672
1 3 2895
15 9 2750
6 4 3058
1 8 3530
15 2 1557
5 11 289
14 7 791
5 4 6267
5 2 7287
9 8 316
6 13 7196
5 14 2594
10 2 7330
15 7 6779
8 10 3014
12 14 4843
9 10 9689
8 14 3853
5 13 7961
12 10 5082
11 14 496
9 2 2029
6 4 8070
12 3 8153
8 14 7509
8 11 7305
14 1 8315
10 10 3230
7 13 1764
5 11 3947
12 8 9866
1 2 5312
13 5 1114
14 10 1211
10 13 7712
9 14 5746
8 9 4826
1 6 7735
2 15 9577
11 3 705
2 1 4813
5 3 651
7 11 5764
3 1 7256
6 5 8670
6 3 3723
10 12 6791
1 6 7643
8 5 3293
3 10 5094
5 2 6152
7 13 7935
8 9 9170
10 3 538
13 13 5244
10 12 8135
13 12 5272
10 12 7755
7 12 1677
7 4 5272
5 2 2939
7 14 7444
11 4 6489
4 13 2591
11 11 3872
14 14 5877
1 8 5053
6 5 4957
10 8 8071
15 4 4010
13 1 1721
9 7 7040
1 8 7380
11 3 4819
12 6 1491
15 13 2749
2 12 9524
6 12 3376
1 9 8327
2 1 6266
8 5 8080
8 12 4531
8 6 2288
13 9 1496
7 12 4577
13 4 3450
7 2 1543
7 12 2274
7 2 7861
1 6 1680
14 9 8372
4 1 5972
6 15 9887
14 4 476
7 10 2263
3 13 3481
4 4 3893
5 5 1033
6 11 9324
13 10 1580
11 11 3568
11 13 5878
7 14 774
4 8 8102
8 1 9514
15 10 209
15 11 882
11 11 405
14 15 7521
13 14 5129
12 9 6513
12 4 15
13 3 9548
15 2 2661
12 6 7450
2 1 7710
6 9 1253
5 15 4400
9 5 5169
8 14 1614
14 14 4707
13 11 5712
1 8 1239
10 2 81
5 11 3188
3 13 5052
11 12 9284
3 9 9458
1 3 8667
9 2 394
14 11 4923
4 4 1211
2 10 5606
3 7 8056
7 9 1132
4 11 3112
14 14 9438
13 10 8828
5 12 3258
1 15 7883
5 5 3787
11 4 2339
6 11 8843
4 4 5604
1 5 7619
9 14 2620
6 8 1789
9 4 7344
1 1 1543
3 13 2785
14 5 233
3 10 9374
10 15 5042
1 7 695
15 8 2482
14 10 5778
5 14 183
12 7 2834
15 7 7189
12 6 7158
11 5 1662
5 6 5997
2 13 6729
10 11 9077
13 5 4868
12 9 145
11 9 5400
14 5 598
2 4 7879
9 6 7229
13 5 656
9 11 7336
12 10 5000
1 15 2305
5 7 2775
2 7 1671
12 13 4971
14 13 6117
9 2 4597
14 1 933
13 8 18
3 1 1323
8 14 5237
8 11 7226
7 2 2488
14 1 4722
9 4 2223
10 9 4491
8 8 9979
2 1 9525
7 9 8153
11 6 1954
3 6 3427
4 12 5348
10 5 6047
2 9 6720
12 14 5346
2 9 722
13 1 7304
10 2 8987
3 6 6234
11 4 7594
9 6 6133
2 4 6695
13 14 5961
4 10 3030
4 11 8948
10 11 3985
1 15 6406
14 14 2042
12 9 5397
1 8 8531
8 14 5569
15 14 518
4 11 4621
2 11 767
8 15 3447
4 5 7704
10 6 9363
12 10 3608
4 5 7756
12 5 3296
15 7 5916
6 5 1411
2 3 1524
5 9 4704
4 9 9622
14 11 5931
12 8 3336
4 8 7793
7 1 1615
14 12 5667
12 13 2364
1 6 6321
4 12 4825
13 10 471
10 3 6212
13 14 2913
10 7 3186
15 1 4985
3 13 7809
9 12 6998
11 2 1801
14 10 7124
7 15 8449
15 11 8313
8 3 9271
2 9 5676
2 7 4451
13 8 1376
9 2 8275
14 1 2415
12 2 9237
15 2 8460
2 1 5411
5 6 4755
10 9 9287
12 3 4262
14 2 6233
13 13 1931
9 6 6770
7 2 5075
13 7 2001
13 1 1300
11 7 9811
1 6 6977
10 8 3918
12 6 7240
6 5 9226
14 11 2820
13 6 2290
14 2 477
15 1 6572
2 1 7288
4 14 1062
14 5 9229
11 13 2860
10 2 1322
11 8 6238
11 5 465
8 7 4222
2 15 5236
8 6 7585
9 2 4219
4 13 6793
2 8 9058
5 5 9410
7 6 3859
3 9 5883
12 8 7844
14 8 6966
10 10 4863
15 12 5564
13 13 8272
5 9 6991
13 13 661
6 8 5628
14 13 6220
6 15 3036
10 3 50
11 13 4701
4 9 9202
6 5 3014
3 13 696
10 10 946
15 2 9572
1 9 3696
15 8 3428
9 13 7873
9 15 8719
15 11 1157
4 15 6215
15 10 6911
11 14 397
5 12 3171
8 4 8160
3 6 5316
10 4 9621
11 10 9054
5 9 7568
12 11 6050
3 11 9875
8 10 1535
8 12 643
11 3 5571
7 2 3608
15 4 2478
6 6 7631
11 8 1823
5 10 3
3 9 1598
2 15 8517
4 15 6357
4 9 1103
3 13 8258
